
[1] 少侠便少侠，什么叫小小少侠？,好感度+4,
[129] 最近有点忙……,好感度+1,
[130] 什么事呀？,好感度+3,
[131] 离前辈言重了，作为前辈，你有事相托，我在所不辞。,好感度+1,
[132] 你我关系深厚，客气什么！,好感度+4,
[133] 重谢不必了，若去燕云，有好酒相候便可！,好感度+1,
[134] 什么事情啊？我或许可以拜托我朋友一下。,好感度+4,
[135] 好吧。,好感度+1,
[136] 过阵我就有空了，你再来找我呗。,好感度+3,
[137] 我明白了，义不容辞，即刻启程。,好感度+4,
[138] 什么书信？这么要紧！,好感度+3,
[139] 好吧，我先看看。,好感度+1,
[140] 离前辈怎突然作此感慨？,好感度+4,
[141] 燕云气候是挺恶劣的。,好感度+3,
[142] 那你便常去风景好的地玩玩啊。,好感度+1,
[143] 青山处处，可埋忠骨。,好感度+4,
[144] 他们若吃不得这个苦，早回家去了！,好感度+3,
[145] 这是他们自己的选择。,好感度+1,
[146] 那快跟我好好讲，我爱听。,好感度+4,
[147] 你们也挺辛苦的……,好感度+3,
[148] 厉害了。,好感度+1,
[149] 闲么，是偷出来的！,好感度+3,
[150] 人偶尔可以自私一点。,好感度+1,
[151] 我带你去玩！把事情扔给黄元文！,好感度+4,
[152] 离前辈是在襄州长大的呀。,好感度+3,
[153] 离前辈的阿娘，一定是很温柔的人。,好感度+4,
[154] 大概是气候不同。,好感度+1,
[155] 很少听离前辈提起。,好感度+3,
[156] 原来离前辈父亲还是个当官的！,好感度+1,
[157] 离前辈是想家了。,好感度+4,
[158] 这么小，离前辈就失去母亲了……,好感度+3,
[159] 离前辈一定很想念娘亲。,好感度+4,
[160] 那离前辈对她一定没什么印象了。,好感度+1,
[161] 离前辈是在襄州长大的呀。,好感度+3,
[162] 月色动人，那是下酒好菜，离前辈可饮酒暖身！,好感度+1,
[163] 离前辈是想家了。,好感度+4,
[164] 沈龙首原来喜欢吃包子啊！,好感度+1,
[165] 这些包子的名字有点诡异，我不太想吃……,好感度+3,
[166] 老实说，你花了多少工夫在研究包子上？,好感度+4,
[167] 比起包子我其实更想吃花生糕,好感度+4,
[168] 不知沈龙首最喜欢吃什么馅的包子呢？,好感度+3,
[169] 你眼高于顶，怎会喜欢如此朴素的食物,好感度+1,
[170] 真的假的？你的口味我能信得过吗,好感度+4,
[171] 对发明了这些馅料的人，我是真的佩服,好感度+3,
[172] 原以为你是个挑食的人，断看不上这些,好感度+1,
[173] 你的厨艺好吗，做出来的包子能吃吗？,好感度+4,
[174] 想象不出你做饭的样子，这跟你的形象不搭,好感度+3,
[175] 你怎么连做包子都学……,好感度+1,
[176] 仗剑江湖，劫富济贫！,好感度+3,
[177] 忙嘛，不就是忙得很！自然没空找你玩！,好感度+1,
[178] 正巧，我正打算要找你呢！,好感度+4,
[179] 阿暖太厉害了，若跟你一起不是风头都被抢啦！,好感度+1,
[180] 恩...正好云中燕捕头来信，你跟我一起去拜访吧？,好感度+4,
[181] 忙起来就忘记了，抱歉。,好感度+3,
[182] 嘻嘻，逗你的啦……真生气了？,好感度+1,
[183] 等我有空……我自然就找你咯！,好感度+3,
[184] 其实啊……我有一桩趣事，要与你说呢,好感度+4,
[185] 说起来挺复杂的……,好感度+1,
[186] 就是想你啦，嘿嘿！,好感度+1,
[187] 其实就是技痒了，好久没和阿暖切磋啦！,好感度+3,
[188] 自然是要和阿暖一起去驱寇惩恶！,好感度+4,
[189] 马贼啊……凶得很，他们人多势众，不如找官府来管管吧？,好感度+3,
[190] 与我无关吧……,好感度+1,
[191] 嗯，你说的！行侠仗义，是八荒弟子的基本守则！,好感度+4,
[192] 事不宜迟，即刻动身！,好感度+3,
[193] 知阿暖者，少侠也~,好感度+1,
[194] 我们打得过吗……,好感度+1,
[195] 好，事不宜迟，即刻动身！,好感度+3,
[196] 还是知会官府一声吧……不然打跑了他们，过阵又回来怎么办？,好感度+4,
[197] 你在说什么守则啊？……,好感度+1,
[198] 事不宜迟，即刻动身，我们一同去把那些马贼在的老巢给端了！,好感度+3,
[199] 怕啥呀，马贼皆是乌合之众！安心，我会保护你的。,好感度+4,
[200] 不会和你的黑煞打架吗？,好感度+3,
[201] 你会养猫？,好感度+1,
[202] 一定跟你一样有活力！,好感度+4,
[203] 看来它和黑煞有缘，叫小白吧，哈哈！,好感度+1,
[204] 听起来真可怜……,好感度+3,
[205] 那你是救了它一命呀！,好感度+4,
[206] 好啦，那我给你赔不是嘛……,好感度+3,
[207] 养鹰和养猫又不一样……,好感度+1,
[208] 对哦，我差点忘了……,好感度+4,
[209] 很期待能看看它。,好感度+4,
[210] 是什么样子的？,好感度+3,
[211] 看来你很宠它啊！,好感度+1,
[212] 人家那是油纸伞，和你打人的钢伞不一样。,好感度+1,
[213] 听你描述，就很神往。,好感度+3,
[214] 师姐不是也有？心情不好的时候还是剑呢！,好感度+4,
[215] 嘿嘿……我是夸你的伞与众不同！,好感度+3,
[216] 师姐自己也说，心情好的时候是伞，不好的时候是剑呀！,好感度+4,
[217] 意思你要学着淑女点，老这般大大咧咧，会嫁不出去的！,好感度+1,
[218] 好啊，一起游湖，烟雨蒙蒙，听着就很浪漫！,好感度+4,
[219] 我现在就有空！,好感度+3,
[220] 我说说而已，最近太忙了，哪有空噢。,好感度+1,
[221] 我记性好嘛！,好感度+3,
[222] 师姐说过的，我自会铭记于心。,好感度+4,
[223] 我听别人说的。,好感度+1,
[224] 我很忙的！,好感度+1,
[225] 柳师姐是不是想我了？,好感度+3,
[226] 虽未得空，心中常常挂念柳师姐！,好感度+4,
[227] 嗯……是有一些，不过如果是柳师姐，那就不一样了！,好感度+4,
[228] 真的嘛？林前辈还夸我了吗？,好感度+3,
[229] 你要不信，我也没法。,好感度+1,
[230] 是不是有什么心事呀？吞吞吐吐的。,好感度+4,
[231] 我前阵游历，见到了你大概会喜欢的趣玩，还托了人带给你呢。,好感度+3,
[232] 肯定想我了！,好感度+1,
[233] 真的啊，我还记得快到你生日咯！,好感度+4,
[234] 我前阵在江南游历，见到了你大概会喜欢的趣玩，还托了天香谷的人带给你呢。,好感度+3,
[235] 你要不信，我也没法。,好感度+1,
[236] 这香囊上绣的木棉可真是栩栩如生！,好感度+3,
[237] 师姐用心所绣，我必然喜欢啊！,好感度+4,
[238] 我都忘记这事了……,好感度+1,
[239] 怎么会呢！师姐现在绣工真的很厉害了！,好感度+3,
[240] 我还记得你和我说过，木棉花的花语是怜取眼前人。,好感度+4,
[241] 夸你两句还不高兴了？,好感度+1,
[242] 不用看我也知晓，这里面是你的一片情谊。,好感度+1,
[243] 师姐向来喜欢些宝剑名器之类的，这个纹样肯定比起花花草草更适合你！,好感度+4,
[244] 师姐别这样，这香囊上木棉的图案可真是栩栩如生！,好感度+3,
[245] 太忙了嘛。,好感度+1,
[246] 可是当我忘记的时候又得到了，这不是双份惊喜么！,好感度+3,
[247] 师姐别这样，我开玩笑的……,好感度+4,
[248] 我听说……叶前辈的鞋子上有秘密！,好感度+4,
[249] 觉得你靴子好看呗……,好感度+1,
[250] 觉得款式稀奇，不大常见。,好感度+3,
[251] 据绝智轩密卷上记载……这鞋内藏有世间最小的机关弩箭。,好感度+3,
[252] 左靴为极为锋利的钢刺，右靴为世间最小的机关弩箭。,好感度+4,
[253] 绣了鸬鹚！,好感度+1,
[254] 样式挺特别的，是找的很好的店家吧？,好感度+3,
[255] 我喜欢这个花纹……,好感度+4,
[128] 没什么！,好感度+1,
[129] 定制的？那肯定很贵……,好感度+1,
[130] 既然是定制的，那定有什么门道。,好感度+4,
[131] 样式挺特别的，是找的很好的店家吧？,好感度+3,
[132] 是遇到什么不顺心的事了吗？,好感度+4,
[133] 叶前辈有时候太强势了……,好感度+3,
[134] 顺其自然呗。,好感度+1,
[135] 若叶前辈有用得到晚辈的地方，尽管开口！,好感度+4,
[136] 这世上，还会有连叶前辈也难为的事啊。,好感度+1,
[137] 叶前辈素来不是素来“以剑破之”么，怎会如此迟疑！,好感度+3,
[138] 我初和叶前辈相识之时，便被叶前辈强势压得头都抬不起来……,好感度+4,
[139] 或许并不需要事事亲为，偶尔偷个懒。,好感度+1,
[140] 叶前辈素来不是“以剑破之”么，怎会如此迟疑！,好感度+3,
[141] 有时太过强势，反而事与愿违，强求不来。,好感度+4,
[142] 呃对不起……让叶前辈不快了……,好感度+1,
[143] 叶前辈素来不是“以剑破之”么，怎会如此迟疑！,好感度+3,
[144] 会。,好感度+3,
[145] 不会。,好感度+1,
[146] 要看是什么样的事。,好感度+4,
[147] 既然已无法偿还，那便辜负到底。,好感度+3,
[148] 只有我可以完成的事，一定是很重要的事。,好感度+4,
[149] 那个人，既然一开始便原谅我，那么最后一次，也一定会原谅我。,好感度+1,
[150] 既然已亏欠良多，只求今生不负。,好感度+3,
[151] 如果我会问，一定是因为我内心，或许不愿意这样做。,好感度+4,
[152] 我不愿伤害自己最在意的人。,好感度+1,
[153] 那，会危及到你自己的生命吗？,好感度+3,
[154] 那我便会去做……舍生成仁。,好感度+4,
[155] 可是，却要伤害自己最在意的人？,好感度+1,
[156] 想不到啊，沈龙首居然会这么老老实实地翻书找线索,好感度+4,
[157] 为解牌废寝忘食，你够拼的,好感度+1,
[158] 能让你头疼的秘牌？有意思……那些书我能帮你一起看吗？,好感度+3,
[159] 我以为你会像绑司空央那样，再绑几个人给你解牌,好感度+4,
[160] 何必非要翻书，难道别的方法解不了两张秘牌吗,好感度+3,
[161] 沈龙首人脉宽广，为何不求助于高人，反而亲力亲为,好感度+1,
[162] 但废寝忘食不是个好习惯，你明知故犯,好感度+4,
[163] 所以这就是你不吃饭的理由？,好感度+3,
[164] 我没法理解为了看书不吃饭的人,好感度+1,
[165] ……居然真叫我帮忙，你还真是不客气,好感度+4,
[166] 话说我该怎么从书中找秘牌的线索？,好感度+3,
[167] 我真的好奇什么类型的奇书能解你的专属秘牌,好感度+1,
[168] 耶律观音奴的信？这位大辽第一美人，对你倒是一直热情,好感度+1,
[169] 耶律观音奴一直在给你寄信？她在耍什么阴谋诡计,好感度+4,
[170] “处理”，这什么意思？……你跟她的事，干嘛拉我掺和,好感度+3,
[171] 此等美人的信你看都不看，你讨厌她吗？,好感度+4,
[172] 危险的美人？你们的关系似乎十分有趣,好感度+3,
[173] 听你的口气，你对她似乎有好感？,好感度+1,
[174] 我倒要拆信看看她想说些什么，免得她给你下圈套,好感度+4,
[175] 你不拆信是因为她是辽人，假设她是宋人，你会与她相交吗？,好感度+3,
[176] 我一直觉得你们的关系有点暧昧,好感度+1,
[177] 销毁就销毁，我这就把信烧了,好感度+4,
[178] 不至于销毁吧，听起来你对她有什么深仇大恨似的,好感度+3,
[179] 你对她这么冷淡，连信都不要，难道是心有所属了？,好感度+1,
[180] 所以你选择回来，就是向世人表明不计较当年的是非对错？,好感度+3,
[181] 你放下过往，独自面对王府朝堂，这一路走来一定颇为不易,好感度+4,
[182] 原来你和圣上是少时好友，难怪圣上如此重用你,好感度+1,
[183] 上一辈的恩怨，难免会顺延到下一辈……希望你是真的放下了,好感度+3,
[184] 龙鳞刺历经多年终于翻案，你回到朝廷经历了不少波折吧？,好感度+4,
[185] 都道伴君如伴虎，圣上为你翻案，可是存了别的心思？,好感度+1,
[186] 所以你的观点是，现在比过去更加重要？,好感度+3,
[187] 你选择坦然面对这样的大起大落，让我十分钦佩,好感度+4,
[188] 我不明白……听起来执着于往事是一种过错似的,好感度+1,
[189] 难怪你在皇宫内总是严肃得让人畏惧,好感度+3,
[190] 你既明白这点，应该早给自己留了退路吧？,好感度+4,
[191] 听你的意思，圣上虽然重用你，但并没有完全信任你？,好感度+1,
[192] 我总觉得“天下太平”与“青龙会” 这三个字有点不搭,好感度+4,
[193] 我有个问题一直想问，青龙会到底是个怎样的组织？,好感度+3,
[194] 然而提及“青龙会”，不少老一辈江湖人仍会胆寒和警惕,好感度+1,
[195] 龙首也算是个威风的位置，然而你做龙首并不是因为他们,好感度+4,
[196] 不知为何，我感觉你成为龙首是一种机缘，或者说宿命,好感度+3,
[197] 你的行事风格本就与他们不一样，与他们自然完全不同,好感度+1,
[198] 天地不仁……我想知道你对这四字的看法,好感度+4,
[199] 青龙会……我想知道，你对青龙会的看法,好感度+3,
[200] 我想知道你对上任龙首所统帅的青龙会的看法,好感度+1,
[201] 莫非你因为想让天下人一直太平安康，所以接手了青龙会？,好感度+4,
[202] 万世的民生，万世的基业？人连一世都难预料，何况万世？,好感度+3,
[203] 每个人都有私心，百晓生也不过是为自己的私心而已,好感度+1,
[204] 我只知“千人千面”，不知“一人千面”,好感度+1,
[205] 这个评价很适合你……只是我有一点担心,好感度+3,
[206] 别看我，不是我第一个传出去的,好感度+4,
[207] 我真不明白……毕竟此前我从未听过“一人千面”传闻,好感度+1,
[208] 你好像有点生气？好吧，你的话我不敢不明白,好感度+3,
[209] ……其实这件事算是我传出去的，我错了,好感度+4,
[210] 我担心你变成玩弄人心的高手，与过去的朋友不复从前,好感度+1,
[211] 我担心你拼尽全力，忙忙碌碌却终无收获,好感度+3,
[212] 我担心你做龙首做得久了，失去从前的自己,好感度+4,
[213] 你生气了？这个评价明明很客观嘛,好感度+1,
[214] 你肯定早就查到是谁传的，我与其无谓抵抗，不如主动交代,好感度+3,
[215] “一人千面”并不能代表我对你的全部印象，你别生气,好感度+4,
[234] 你是在炫耀吗？有钱了不起吗？,好感度+5,
[235] 真的？要不我来帮你数？,好感度+3,
[236] 要怎么才能赚到像你这么多的钱？,好感度+1,
[237] ……你赢了,好感度+5,
[238] 只能说，人各有志,好感度+3,
[239] 我觉得钱不重要,好感度+1,
[240] 数钱就挺有意义的,好感度+5,
[241] 那更有意义的事情是什么？,好感度+3,
[242] 反正我也没什么有趣的事情做,好感度+1,
[243] 做比说难多了，羡慕你的赚钱能力,好感度+5,
[244] 给点诚意，教教我怎么努力,好感度+3,
[245] 不是要努力一下，是要努力很多吧？,好感度+1,
[246] 等等，你四十岁了？！,好感度+5,
[247] 恭祝沈龙首年年有今日，岁岁……,好感度+3,
[248] 你给我的感觉还很年轻,好感度+1,
[249] 四十不惑，是什么感觉？,好感度+5,
[250] 拥有一切的名利与权势，会感觉孤独吗？,好感度+3,
[251] 没想到你那么老了！,好感度+1,
[252] 这倒不用……,好感度+5,
[253] ……不不不，是我祝你万事如意！,好感度+3,
[254] 我就随便说说,好感度+1,
[255] 是的，你看起来不到三十！,好感度+5,
[128] 我绞尽脑汁才想出这句恭维话……,好感度+3,
[129] 其实男人的外表并不重要,好感度+1,
[130] 那你为何不娶妻？,好感度+3,
[131] 那你为何不收徒？,好感度+1,
[132] 只有一个人……你是开心还是寂寞呢？,好感度+5,
[133] 四十也不算晚，你去相亲吧,好感度+3,
[134] 一定是你太凶了，所以没人敢嫁给你,好感度+1,
[135] 成婚这种事，缘分到了什么时候也不晚,好感度+5,
[136] 你也太自大了！,好感度+3,
[137] 你是在找借口……挑选资质上佳之人就好,好感度+1,
[138] 哎，你看我怎么样？,好感度+5,
[139] 那你是觉得寂寞了，我陪你玩吧,好感度+3,
[140] 一个人有一个人的好,好感度+1,
[141] 自己过其实也挺不错的,好感度+5,
[142] 难道你不想永续太平吗？,好感度+3,
[143] 要如何才能尽力绵延？,好感度+1,
[144] 那我们所做的一切，又意义何在？,好感度+5,
[145] 或许人们可以自己砥砺前行呢？,好感度+3,
[146] 这又是什么道理？,好感度+1,
[147] 所以，征战分离，生老病死，都不一定是坏事？,好感度+5,
[148] 那就是说你也没有答案,好感度+3,
[149] 可否分享给我，你所相信的途径？,好感度+1,
[150] 是，所以我也有我所相信的路,好感度+5,
[151] 你的意思是，我们的努力，我们自己记得便好？,好感度+3,
[152] 我好像懂，又好像不懂,好感度+1,
[153] 是啊，我们自己的存在，这件事本身便有意义,好感度+5,
